year,n,mean_duration_min,mean_energy
2000,92,4.183627717391304,0.6995760869565217
2001,100,4.116746666666667,0.66661
2002,99,4.206706734006734,0.709959595959596
2003,113,4.205659439528024,0.6753982300884956
2004,79,4.003670886075949,0.6665949367088607
2006,1,3.22755,0.954
2012,1,3.7442166666666665,0.937
2021,1,3.3844,0.8250000000000001
