ranking,song,band_singer,songurl,titletext,url,year,lyrics,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1,Breathe,Faith Hill,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000,"I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face and I've
Never been this swept away

All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear
Is the beating of your heart

And I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

In a way, I know my heart is waking up
As all the walls come tumbling down
I'm closer than I've ever felt before
And I know, and you know
There's no need for words right now
You might also like
And I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe


Caught up in the touch
The slow and steady rush
Baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

I can feel the magic floating in the air
Being with you gets me that way7Embed",spotify:track:3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4
2,Smooth,Santana,/wiki/Smooth_(Santana_song),Smooth,/wiki/Santana_(band),2000,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove, yeah

And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth
Gimme your heart, make it real, or else forget about it

Well, I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name callin' me out
Out from the barrio, you hear my rhythm on the radio
You feel the turning of the world so soft and slow
Turnin' you round and round
You might also like
And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

Oh, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, yeah


And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, damn

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real) Or else forget about it, hey
Let's don't forget about it, no, oh, no, oh
Let's don't forget about it, no, no, no, oh
Let's don't forget about it, hey, no, no, oh
Let's don't forget about it, hey, hey, hey24Embed",spotify:track:0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.7300000000000005e-6,0.295,0.961,115.996,audio_features,0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987,4
2,Smooth,Rob Thomas,/wiki/Smooth_(Santana_song),Smooth,/wiki/Rob_Thomas_(musician),2000,"Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove, yeah

And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth
Gimme your heart, make it real, or else forget about it

Well, I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name callin' me out
Out from the barrio, you hear my rhythm on the radio
You feel the turning of the world so soft and slow
Turnin' you round and round
You might also like
And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

Oh, and it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, yeah


And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of loving that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, damn

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real) Or else forget about it, hey
Let's don't forget about it, no, oh, no, oh
Let's don't forget about it, no, no, no, oh
Let's don't forget about it, hey, no, no, oh
Let's don't forget about it, hey, hey, hey24Embed",spotify:track:5IALWUYK0zDSEmZgb4ICvc,0.59,0.637,9,-9.171,1,0.0301,0.00225,0.807,0.299,0.724,115.983,audio_features,5IALWUYK0zDSEmZgb4ICvc,https://api.spotify.com/v1/tracks/5IALWUYK0zDSEmZgb4ICvc,https://api.spotify.com/v1/audio-analysis/5IALWUYK0zDSEmZgb4ICvc,244924,4
3,Maria Maria,Santana,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000,"Ladies and gents, turn up your sound systems
To the sound of Carlos Santana
And the G&B
It's the product of Ghetto Blues
From the Refugee Camp

Oh, Maria, Maria
She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
To the sounds of the guitar, yeah, yeah
Played by Carlos Santana


Stop the looting, stop the shooting
Pickpocketing on the corner
See, as the rich is getting richer
The poor is getting poorer
See me and Maria on the corner
Thinking of ways to make it better
In my mailbox, there's an eviction letter
Signed by the judge, said, ""See you later"", yeah
You might also like
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (East Coast)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (West Coast)

Oh, Maria, Maria
She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
I said, to the sounds of the guitar, yeah, yeah
Played by Carlos Santana


I said a la favela los colores
The streets are getting hotter
There is no water to put out the fire
Ni gota de esperanza
See me and Maria on the corner
Thinking of ways to make it better
Then I looked up in the sky
Hoping that there's a paradise, yeah, yeah
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (North side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (South side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Worldwide)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Open up your eyes)

Maria, you know you're my lover
When the wind blows, I can feel you
Through the weather
And even when we are apart
Still feels like we're together, Maria, yeah

She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
Oh, she fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santana

Put 'em up y'all
Carlos Santana with the Refugee Camp
Wyclef
Jerry Wonda
Mr. Santana
G&B
Yo Carlos, man, you're making that guitar cry22Embed",spotify:track:3XKIUb7HzIF1Vu9usunMzc,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4
3,Maria Maria,The Product G&B,/wiki/Maria_Maria,Maria Maria,/wiki/The_Product_G%26B,2000,"Turn up this sound system
To the sound of Carlos Santana
And the G-M-B's
Ghetto blues from the refugee camp
Oh Maria Maria
She reminds me of a westside story
Growing up in Spanish Harlem
She's livin' her life just like a movie star
Oh, Maria Maria
She fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santan
Stop the looting, stop the shooting
Pick pocking on the corner
See as the rich is getting richer
The poor is getting poorer
Se mira Maria on the corner
Thinkin' of ways to make it better
In my mailbox there's an eviction letter
Somebody just said see you later
Ahora vengo mama chola mama chola
Ahora vengo mama chola (East coast)
Ahora vengo mama chola mama chola
Ahora vengo mama chola (West coast)
You might also likeOh Maria Maria
She reminds me of a westside story
Growing up in Spanish Harlem
She's livin' her life just like a movie star
Oh, Maria Maria
She fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santan
I said a la favella los colores
The streets are getting hotter
There is no water
To put out the fire
Mi canto la esperanza
Se mira Maria on the corner
Thinkin' of ways to make it better
Then I looked up in the sky
Hoping of days of paradise
Ahora vengo mama chola mama chola
Ahora vengo mama chola (North side)
Ahora vengo mama chola mama chola
Ahora vengo mama chola (South side)
Ahora vengo mama chola mama chola
Ahora vengo mama chola (World wide)
Ahora vengo mama chola mama chola
Ahora vengo mama chola (Open up your eyes)
Maria you know your my lover
When the wind blows I can feel you through the weather
And even when we are apart
It feels like we are together
Maria, yeah
She reminds me of a westside story
Growing up in Spanish Harlem
She's livin' her life just like a movie star
Oh Maria Maria
She fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santana
Put 'em up y'all
Carlos Santana with the refugee camp
Wyclef
Jerry Wonder
Mr. Santana
Gmb
Yo, Carlos, man you makin' the guitar cryEmbed",spotify:track:3XKIUb7HzIF1Vu9usunMzc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,I Wanna Know,Joe,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000,"Yeah
Oh-oh, yeah
Alright, oh, oh, oh

It's amazing how you knock me off my feet, mm
Every time you come around me, I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So, I wanna know

I wanna know what turns you on (Yeah, I'd like to know)
So I can be all that and more (I'd like to know, yeah)
I'd like to know what makes you cry (So)
So I can be the one who always makes you smile

Girl, he never understood what you were worth (Hmm, no)
And he never took the time to make it work, no
(You deserve more lovin', girl, oh)
Baby, I'm the kind of man who shows concern, yes I do, oh
Anyway that I can please you, let me learn
So, I wanna know
You might also like
I wanna know what turns you on (I wanna know)
So I can be all that and more (I'd like to know)
I'd like to know what makes you cry (So)
So I can be the one who always makes you smile (Make you smile, babe)

Tell me what I gotta do to please you
Baby, anything you say, I'll do (I'll do)
'Cause I only wanna make you happy (Happy)
From the bottom of my heart, it's true (It's true)
Tell me what I gotta do to please you (Please you)
Baby, anything you say I'll do (I'll do, girl)
'Cause I only wanna make you happy
From the bottom of my heart, it's true (Oh, it's true)

I wish that I could take a journey through your mind, ah, alright
And find emotions that you always try to hide, babe, ah, oh
I do believe that there's a love you wanna share, oh, oh-oh
I'll take good care of you, lady, have no fear, uh, oh
So I wanna know

I wanna know what turns you on (I wanna know)
So I can be all that and more (And I'd like to know)
I'd like to know what makes you cry (Oh-oh, yeah)
So I can be the one who always makes you smile
(Ooh, tell me, tell me)
Tell me what I gotta do to please you
Baby, anything you say, I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true
Tell me what I gotta do to please you
Baby, anything you say, I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true (Yeah, yeah)

I wanna know what turns you on (I'd like to know, I'd like to know, yeah)
So I can be all that and more (I wanna know)
I'd like to know what makes you cry (So, oh yeah)
So I can be the one who always makes you smile (I'd like to know, I wanna know)
I wanna know what turns you on (Tell me, girl)
So I can be all that and more11Embed",spotify:track:1m2xMsxbtxv21Brome189p,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-5,0.431,0.599,136.086,audio_features,1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/tracks/1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/audio-analysis/1m2xMsxbtxv21Brome189p,296693,4
5,Everything You Want,Vertical Horizon,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000,"Somewhere there's speaking
It's already coming in
Oh, and it's rising at the back of your mind
You never could get it
Unless you were fed it
Now you're here and you don't know why
But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen
Listen and wait for the
Echoes of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

You're waiting for someone
To put you together
You're waiting for someone to push you away
There's always another wound to discover
There's always something more you wish he'd say
You might also like
He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

But you'll just sit tight
And watch it unwind
It's only what you're asking for
And you'll be just fine
With all of your time
It's only what you're waiting for

Out of the island
Into the highway
Past the places where you might have turned
You never did notice
But you still hide away the
Anger of angels who won't return
He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

I am everything you want
I am everything you need
I am everything inside of you
That you wish you could be
I say all the right things
At exactly the right time
But I mean nothing to you
And I don't know why

And I don't know why
Why
I don't know9Embed",spotify:track:4cKGldbhGJniI8BrB3K6tb,0.636,0.761,3,-6.389,0,0.0306,0.0517,0,0.06420000000000001,0.736,93.896,audio_features,4cKGldbhGJniI8BrB3K6tb,https://api.spotify.com/v1/tracks/4cKGldbhGJniI8BrB3K6tb,https://api.spotify.com/v1/audio-analysis/4cKGldbhGJniI8BrB3K6tb,257067,4
6,Say My Name,Destiny's Child,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000,"Darkchild '99

Say my name, say my name
If no one is around you
Say, “Baby, I love you”
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me ""Baby""
Why the sudden change?
Say my name, say my name
If no one is around you
Say, “Baby, I love you”
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady
Ain't callin' me ""Baby""
Better say my name

Any other day I would call you would say (Say)
""Baby, how's your day?"" But today it ain't the same
Every other word is ""Uh-huh (Uh-huh), yeah, okay"" (Okay)
Could it be that you are at the crib with another lady? (Another lady)
If you took it there first of all let me say (Say)
I am not the one to sit around and be played
So prove yourself to me if I'm the girl that you claim (Claim)
Why don't you say the things that you said to me yesterday? (Yesterday)
You might also like
I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holding you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name (Say my name, is around you)
If no one is around you
Say, “Baby, I love you” (Love you)
If you ain't runnin' game
Say my name, say my name (Say my name, say my name)
You actin' kinda shady
Ain't callin' me ""Baby"" (Baby, hey, yeah)
Why the sudden change?
Say my name, say my name
If no one is around you (Yeah, yeah, yeah)
Say, “Baby, I love you”
If you ain't runnin' game (No, no)
Say my name, say my name
You actin' kinda shady
Ain't callin' me ""Baby""
Better say my name
What is up with this? Tell the truth, who you with? (With)
How would you like it if I came over with my clique?
Don't try to change it now sayin' you gotta bounce (Bounce)
When two seconds ago said you just got in the house (The house)
It's hard to believe that you are at home by yourself (By yourself)
When I just heard the voice, heard the voice of someone else
Just this question, why do you feel (Feel) you gotta lie? (L-Lie)
Gettin' caught up in your game when you cannot say my name
(Say my, say my name)

I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holding you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name (Say my name)
If no one is around you
Say, “Baby, I love you” (I love you)
If you ain't runnin' game
Say my name, say my name (Say my name, say my name)
You actin' kinda shady (Say my name)
Ain't callin' me ""Baby""
Why the sudden change? (Sudden change)
Say my name, say my name (Say my name)
If no one is around you (If ain't nothin' changed, oh)
Say, “Baby, I love you”
If you ain't runnin' game (Baby, say my name)
Say my name, say my name
You actin' kinda shady (Ooh, whoa, yeah)
Ain't callin' me ""Baby""
Better say my name
Where my ladies at?
Yeah, yeah, yeah, yeah, yeah (Can you say that? C'mon)
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah) (All the girls say)
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah) (I can't)
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah, yeah (Yeah, yeah, yeah)
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah (Break it down)
Oh-ooh, whoa-whoa
(Uh, uh-uh, D-C, take it to the bridge, c'mon)

I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holding you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name
If no one is around you (If no one is around you)
Say, “Baby, I love you”
If you ain't runnin' game (Call me your boo)
Say my name, say my name
You actin' kinda shady (And tell me what you'd like to do, whoa)
Ain't callin' me ""Baby""
Why the sudden change?
Say my name, say my name
If no one is around you
Say, “Baby, I love you”
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady (Shady)
Ain't callin' me ""Baby"" (Baby)
Better say my name
Say my name, say my name
If no one is around you
Say, “Baby, I love you” (Say, ""Baby, I love you"")
If you ain't runnin' game
Say my name, say my name (Say my name)
You actin' kinda shady (Say my name)
Ain't callin' me ""Baby""
Why the sudden change? (Yeah, yeah, yeah, yeah)
Say my name, say my name (Yeah, yeah, yeah, yeah)
If no one is around you (Yeah, yeah, yeah, yeah)
Say, “Baby, I love you” (Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
If you ain't runnin' game (Yeah, yeah, yeah, yeah)
Say my name, say my name (Yeah, yeah, yeah, yeah)
You actin' kinda shady (Yeah, yeah, yeah, yeah)
Ain't callin' me ""Baby"" (Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
Better say my name

Thou shalt know she can't love you67Embed",spotify:track:7H6ev70Weq6DdpZyyTmUXk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,I Knew I Loved You,Savage Garden,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000,"Mmm
Ooh, oh

Maybe it's intuition
But some things you just don't question
Like in your eyes, I see my future in an instant
And there it goes, I think I've found my best friend

I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

There's just no rhyme or reason
Only this sense of completion
And in your eyes, I see the missing pieces (I'm searching for)
I think I found my way home
You might also like
I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

Ooh, ooh-ooh
Oh, oh-oh, oh
A thousand angels dance around you
Ooh, ooh-ooh
Oh, oh-oh, oh
I am complete now that I've found you

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life
I knew I loved you before I met you
I think I dreamed you into my life
I knew I loved you before I met you
I have been waiting all my life
I knew I loved you before I met you (Ooh, ooh-ooh, ooh)
I knew I loved you
I knew I loved you before I met you (Ooh, ooh-ooh, ooh)
I knew I loved you
I knew I loved you before I met you (Oh, oh, oh, oh, oh, oh)
I knew I loved you before I met you (Yeah, yeah, oh)
I knew I loved you7Embed",spotify:track:6nozDLxeL0TE4MS9GqYU1v,0.61,0.497,9,-9.88,1,0.0279,0.32,6.11e-5,0.0884,0.739,85.031,audio_features,6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/audio-analysis/6nozDLxeL0TE4MS9GqYU1v,250360,4
8,Amazed,Lonestar,/wiki/Amazed,Amazed,/wiki/Lonestar,2000,"Every time our eyes meet
This feeling inside me
Is almost more than I can take
Baby, when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone, or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark
Your hair all around me
Baby, you surround me
You touch every place in my heart
You might also like
Oh, it feels like the first time every time
I want to spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you


Every little thing that you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do (Every little thing that you do)
Every little thing that you do
Baby, I'm amazed by you15Embed",spotify:track:6qc34bnVOyqGDPni8H5W0U,0.561,0.543,1,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4
