cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,n
1,0.7520486725663716,0.737778761061947,5.030973451327434,-5.396783185840708,0.47787610619469006,0.14697035398230088,0.14004512831858407,0.0038695792920353965,0.12801238938053097,0.7396106194690265,111.01564159292036,235795.40265486727,4.004424778761062,226
2,0.6287073170731707,0.5139268292682927,5.8861788617886175,-8.178609756097561,0.5853658536585367,0.09107967479674797,0.3185362601626016,0.0018992941463414636,0.1468691056910569,0.4731040650406504,115.0829837398374,258610.0569105691,3.934959349593496,123
3,0.5469354838709678,0.772233870967742,4.459677419354838,-5.3845967741935485,0.7903225806451614,0.0737024193548387,0.06070557580645161,0.007162446048387095,0.2728475806451613,0.46211129032258064,126.64034677419355,263836.5,3.975806451612903,124
4,0.7131538461538461,0.5613076923076923,4.538461538461538,-10.168384615384616,0.7692307692307693,0.07587692307692308,0.08420776923076922,0.5522307692307692,0.1374153846153846,0.6773846153846154,132.61007692307692,236966.15384615384,3.923076923076923,13
